artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
Ecoutez,Love - Live - Life,Simpan Saja,2qiODpF8mTIV4n5OqIygHn,0.467,0.236,-11.177,0.036,1.67E-05,0.386,0.303,180.051,294927,indonesian indie
Andra & The Backbone,Season 2,Tak Ada Yang Bisa,6Z4tlHCjshFka6UfoIkwfm,0.529,0.287,-10.632,0.0308,5.15E-05,0.132,0.253,120.121,300652,classic indonesian rock
Slank,Generasi Biru (Original Motion Picture Soundtrack),Slank Dance,00wlmPplya6aVaWTP24mCb,0.658,0.613,-5.121,0.0381,2.86E-06,0.486,0.0923,119.986,155293,classic indonesian rock
Padi,Sesuatu Yang Tertunda,Kasih Tak Sampai,1oAWbr6TXkRajJKgSm1vF5,0.281,0.207,-13.734,0.0396,0.0117,0.058,0.149,71.632,293320,classic indonesian rock
Barasuara,Pikiran dan Perjalanan,Masa Mesias Mesias,2BziBGtZRmw2YwFInkc3Xm,0.372,0.98,-4.63,0.0573,0.645,0.264,0.681,193.962,189001,indonesian indie
Vina Panduwinata,Terbaik 1981 - 2006,Cinta,4droKDn4442h9GcwlsIZ7x,0.557,0.308,-13.483,0.0338,9.39E-05,0.0915,0.298,129.43,242933,dangdut
Tashoora,"Hamba Jaring Cahaya, Hamba Bela Gelapnya",Nista,4YJteYsiHPtjwMclESUa0k,0.516,0.56,-9.764,0.0315,0.759,0.104,0.1,134.062,274001,indonesian indie
Vina Panduwinata,Cium Pipiku,Logika,5PPk6wNODCAKfcn8WwkyMy,0.711,0.518,-7.687,0.0328,0.0125,0.209,0.389,144.44,279720,dangdut
The Rock,Master Mister Ahmad Dhani I,Rahasia Perempuan - Swing Version,4vJsbvJsRJU0oWORU4LQP7,0.775,0.524,-7.891,0.041,0,0.0414,0.704,112.034,224908,classic indonesian rock
Dewa,Bintang Lima,Lagu Cinta,4SBtl9yUdMjc8erkDiKzxG,0.503,0.54,-7.647,0.026,2.58E-06,0.371,0.209,76.803,266867,classic indonesian rock
Zaskia Gotik,Gotik,1 Jam vs. ABG Tua - DJ Roy Edit Mix,6uWckESw1KdjIqvqCSd4wB,0.536,0.996,-3.425,0.0451,0.757,0.28,0.961,160.006,248843,dangdut
Barasuara,Pikiran dan Perjalanan,Guna Manusia,5hFSadbnaGPDDInzs2vc10,0.369,0.877,-5.901,0.0348,0.00618,0.173,0.715,128.946,269152,indonesian indie
Barasuara,Pikiran dan Perjalanan,Seribu Racun,39g77d5bDuayJ0HDYbOlqa,0.553,0.853,-4.307,0.0367,0.011,0.115,0.485,126.056,211814,indonesian indie
Petra Sihombing,Mine,Pilih Saja Aku,3e7Xsl6DPWEgAgBF1ErMl8,0.798,0.522,-6.796,0.0345,6.21E-05,0.132,0.964,120.006,204227,indonesian indie
Kotak,Terbaik,Beraksi,3G5rkSTf81jKMwsjL8nhTz,0.623,0.875,-3.441,0.0318,8.16E-06,0.179,0.82,105.961,205373,classic indonesian rock
Padi,The Singles,Rapuh,0e5o8SmKc0ckDiG80QDweM,0.319,0.384,-7.555,0.0276,0.000333,0.124,0.113,138.197,301493,classic indonesian rock
Naif,The Best,Posessif,5L2Xs77rPP8qmpII88S5A5,0.61,0.442,-8.885,0.0266,7.52E-05,0.0909,0.468,100.004,262747,indonesian indie
Ridho Rhoma & Sonet 2 Band,Regrets,Cuma Kamu (Versi Film),05z1T0zFEaJzTBfRRypM9w,0.701,0.442,-9.672,0.0258,0.00225,0.0747,0.266,104.017,245427,dangdut
Petra Sihombing,Mine,Mine,6NkUP6IeLnH6Yaw2wcNHzO,0.472,0.572,-5.651,0.0282,0,0.0711,0.361,81.367,229120,indonesian indie
Ebiet G. Ade,Camellia 4,Titip Rindu Buat Ayah,3meMrWmiIPjlidIkRx9ndv,0.379,0.329,-8.773,0.0265,0.0298,0.105,0.167,139.024,321643,dangdut
Dewa 19,Kerajaan Cinta,Kangen,5LqanqJSmZwbwPtIi2RwTb,0.618,0.776,-6.41,0.0282,0,0.127,0.842,133.986,300513,classic indonesian rock
Ayu Ting Ting,Best of Ayu Ting Ting,My Lopely,3yvBAoDq4HboYpLPF6xmXO,0.686,0.963,-4.06,0.057,0.000165,0.374,0.854,147.006,182720,dangdut
Wali,Orang Bilang,Emang Dasar,5cAO4rrfD3oxNY9IJmt057,0.672,0.733,-5.621,0.0368,0,0.133,0.695,130.016,249658,dangdut
Radja,Langkah Baru,Cinderella,5T1YKXanG4LAOR4CHENQUf,0.481,0.877,-7.461,0.0467,0,0.108,0.618,171.975,212138,dangdut
Barasuara,Taifun,Taifun,2ZVHcGGXwarQ0ZfBnY8HLQ,0.533,0.458,-5.287,0.0239,0.083,0.161,0.188,142.099,271645,indonesian indie
Gigi,"Peace, Love And Respect",Nakal,0J2fHzyhbvoj0pbs5b9GIf,0.601,0.939,-3.669,0.039,0.00E+00,0.179,0.671,94.052,232067,classic indonesian rock
Dewa 19,Kerajaan Cinta,Selimut Hati,3mM7f12I9yOmLeqye0bII2,0.703,0.428,-8.41,0.0286,9.84E-05,0.129,0.545,74.996,279290,classic indonesian rock
Barasuara,Pikiran dan Perjalanan,Pikiran dan Perjalanan,25c343Sb9sYgZHc5b8GhLV,0.59,0.911,-5.212,0.0484,0.00197,0.232,0.879,86.994,272305,indonesian indie
Kotak,Terbaik,Tendangan Dari Langit,6xqat0eZI1KqDKMPBzuF8J,0.626,0.894,-5.587,0.0642,0,0.223,0.636,135.011,244307,classic indonesian rock
Melinda,Ratu Funky,Aw Aw,6r0oSQKKSbPNMQiT8DMZ7M,0.657,0.951,-2.765,0.0388,0.757,0.201,0.849,159.985,231401,dangdut
Ayu Ting Ting,Best of Ayu Ting Ting,Suara Hati,6yfjukewoZYXrYTm2vwxa1,0.652,0.803,-4.6,0.0329,1.52E-06,0.0703,0.775,136.246,235053,dangdut
Cokelat,Panca Indera,Salah,5OXp8P1mZOm7HX5SN3oBeR,0.41,0.822,-5.686,0.0456,3.02E-05,0.0972,0.805,180.072,248013,classic indonesian rock
Radja,Langkah Baru,Tulus,3epntraHxRHnB8OZFJp6KL,0.544,0.909,-6.28,0.0493,0,0.0771,0.706,149.832,263454,dangdut
Siti Badriah,Satu Sama,Terong Dicabein,1BGcUs0zjJmwHHiJ2ccDwb,0.815,0.94,-3.681,0.0385,2.06E-06,0.0995,0.856,134.989,260103,dangdut
Pinkan Mambo,Aku Tau Rasanya,Dirimu Dirinya,3rbvkU65KH2Eb0DwiFh7nN,0.287,0.497,-8.744,0.0336,0.00249,0.163,0.112,141.51,219307,dangdut
Stinky,The Best Of Stinky,Mungkinkah,1Zh3pCFSFru1NuecRqIEBH,0.536,0.38,-10.417,0.0277,5.85E-06,0.404,0.205,73.994,257927,classic indonesian rock
Wali,Aku Bukan Bang Toyib,Aku Bukan Bang Toyib,2ZnMyljOhstLNMuzyGCnze,0.673,0.836,-4.387,0.037,0,0.0737,0.713,131.964,206080,dangdut
Kunto Aji,Generation Y,Terlalu Lama Sendiri,1oKJJOjLULChjf4BM3qEJO,0.487,0.373,-8.58,0.0844,0,0.456,0.587,109.894,241708,indonesian indie
Padi,The Singles,Sang Penghibur,5jJV1Mx1Vli2onWoECmAht,0.424,0.895,-3.285,0.0482,0,0.323,0.349,104.016,290933,classic indonesian rock
Barasuara,Taifun,Menunggang Badai,5TRxePA2lSaJm4Mw1QX9Jr,0.533,0.876,-5.256,0.0386,0.269,0.0907,0.7,94.016,303085,indonesian indie
Java Jive,1993 - 2006,Selalu Untuk Selamanya,0RvyuHvlO2UCp17iw27kwL,0.428,0.398,-7.338,0.0309,0.00189,0.126,0.143,133.368,255027,classic indonesian rock
Naif,The Best,Curi - Curi Pandang,1y75Y23XmEbHvFUK0by5G9,0.82,0.507,-9.783,0.0299,0,0.082,0.701,110.222,192053,indonesian indie
Tashoora,"Hamba Jaring Cahaya, Hamba Bela Gelapnya",Distilasi,0E1Vkx7vxwFSClWauTmRIM,0.687,0.641,-7.141,0.0265,0.11,0.189,0.58,124.041,200005,indonesian indie
Iwan Fals,In Love,Ijinkan Aku Menyayangimu,108AjsNJYPMrZWecK7xNkF,0.522,0.358,-9.214,0.03,0.146,0.107,0.105,137.66,282000,classic indonesian rock
